code,name,id,level,parent.id,geometry.type,ward.parent.id,ward,subcounty.parent.id,subcounty,county.parent.id,county,mflcode,geometry.coordinates_1,geometry.coordinates_2
NA,Loima Sub County,qJ7SSkvYMLL,5,Toe5zU8RLT5,MultiPolygon,NA,NA,Toe5zU8RLT5,Loima ,HfVjCurKxh2,Turkana ,NA,34.9559,34.9566
631,Loima Ward,Di4zLXFT0io,6,qJ7SSkvYMLL,NA,qJ7SSkvYMLL,Loima ,Toe5zU8RLT5,Loima ,HfVjCurKxh2,Turkana ,631,NULL,
904,Loita Ward,QxO9gSIhawJ,6,VuV6A0xYYRj,NA,VuV6A0xYYRj,Loita ,IBZqPDOCobI,Narok South ,HfVjCurKxh2,Narok ,904,NULL,
Keipsl15051,Loitokitok District Hospital,RaP6CEIcZw7,7,Pv3E96cxVVP,Point,k5Kne0CUw8p,Kuku ,iO2edHMzzoa,Loitokitok ,HfVjCurKxh2,Kajiado ,15051,37.50484,-2.9243
NA,Loitokitok Sub County,k5Kne0CUw8p,5,iO2edHMzzoa,MultiPolygon,NA,NA,iO2edHMzzoa,Loitokitok ,HfVjCurKxh2,Kajiado ,NA,37.6965,37.6923
Keipsl15053,Loiwat Dispensary,vcswGcxMVX1,7,omT9PAxaR9V,Point,c9FlxlK5i7t,Kolowa ,Tbq3JMDALZt,Tiaty ,HfVjCurKxh2,Baringo ,15053,35.7239,1.04812
785,Loiyamorok Ward,BV9AmapShdV,6,c9FlxlK5i7t,NA,c9FlxlK5i7t,Loiyamorok ,Tbq3JMDALZt,Tiaty ,HfVjCurKxh2,Baringo ,785,NULL,
Keipsl12432,Loiyangalani Dispensary,kEOV7Uk7itB,7,pZrli5ZhH82,Point,ePqIVslp390,Loiyangalani ,UHkc4iGio0L,Laisamis ,HfVjCurKxh2,Marsabit ,12432,36.72167,2.76329
Keipsl12433,Loiyangalani Health Centre,iSaljf5R16X,7,pZrli5ZhH82,Point,ePqIVslp390,Loiyangalani ,UHkc4iGio0L,Laisamis ,HfVjCurKxh2,Marsabit ,12433,36.71736,2.75771
236,Loiyangalani Ward,pZrli5ZhH82,6,ePqIVslp390,NA,ePqIVslp390,Loiyangalani ,UHkc4iGio0L,Laisamis ,HfVjCurKxh2,Marsabit ,236,NULL,
Keipsl17196,Lokaburu,mXjcydyrJ1J,7,v2d4gBeZTjR,Point,BszCGjFOZyf,Lokichar ,Toe5zU8RLT5,Turkana South ,HfVjCurKxh2,Turkana ,17196,35.55868,2.40038
Keipsl15054,Lokamarinyang Dispensary,FaFWtxgTpr5,7,BY9larnSHSt,Point,MWL9SvViFa6,Kibish ,Toe5zU8RLT5,Kibish ,HfVjCurKxh2,Turkana ,15054,35.6544,5.30728
Keipsl15055,Lokangae Health Centre,MHuuf2Wf7MU,7,V3AIgHUhavL,Point,HFH1MxaPlIn,Songot ,Toe5zU8RLT5,Turkana West ,HfVjCurKxh2,Turkana ,15055,34.89022,4.1072
Keipsl15056,Lokapel Dispensary,xMTOLud4Ura,7,HDvOtQ8PpXw,Point,BszCGjFOZyf,Katilu ,Toe5zU8RLT5,Turkana South ,HfVjCurKxh2,Turkana ,15056,35.4967,2.3587
Keipsl21345,Lokichar Health Centre,QM7wwYjBzHw,7,v2d4gBeZTjR,Point,BszCGjFOZyf,Lokichar ,Toe5zU8RLT5,Turkana South ,HfVjCurKxh2,Turkana ,21345,35.7149,2.41689
Keipsl15057,Lokichar (RCEA) Health Centre,No2gLbDeU26,7,v2d4gBeZTjR,Point,BszCGjFOZyf,Lokichar ,Toe5zU8RLT5,Turkana South ,HfVjCurKxh2,Turkana ,15057,35.7151,2.41696
637,Lokichar Ward,v2d4gBeZTjR,6,BszCGjFOZyf,NA,BszCGjFOZyf,Lokichar ,Toe5zU8RLT5,Turkana South ,HfVjCurKxh2,Turkana ,637,NULL,
622,Lokichoggio Ward,n53nrTGQnuZ,6,HFH1MxaPlIn,NA,HFH1MxaPlIn,Lokichoggio ,Toe5zU8RLT5,Turkana West ,HfVjCurKxh2,Turkana ,622,NULL,
Keipsl15059,Lokichogio (AIC) Health Centre,msVH1X00e7R,7,n53nrTGQnuZ,Point,HFH1MxaPlIn,Lokichoggio ,Toe5zU8RLT5,Turkana West ,HfVjCurKxh2,Turkana ,15059,34.2429,4.21267
